epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,196.072,0.39474,0.31211,0.79944,0.97887,0.95862,0.9896,0.84811,0.55671,0.34004,0.81016,0.00034165,0.00034165,0.00034165
135,197.431,0.3806,0.29684,0.79176,0.97488,0.96408,0.98865,0.84517,0.57743,0.33705,0.81567,0.0003367,0.0003367,0.0003367
136,198.834,0.3778,0.31468,0.7942,0.9738,0.94793,0.98908,0.84693,0.53624,0.3387,0.80516,0.00033175,0.00033175,0.00033175
137,200.188,0.37472,0.30145,0.78835,0.96917,0.94735,0.98291,0.83466,0.54047,0.34167,0.80929,0.0003268,0.0003268,0.0003268
138,201.552,0.37375,0.30724,0.79846,0.96319,0.96623,0.98571,0.84118,0.53525,0.32684,0.8071,0.00032185,0.00032185,0.00032185
139,202.893,0.36401,0.30862,0.8016,0.96239,0.96323,0.98837,0.84669,0.54697,0.32852,0.80859,0.0003169,0.0003169,0.0003169
140,204.213,0.37022,0.30462,0.79797,0.95116,0.95797,0.98613,0.84843,0.55138,0.35671,0.80509,0.00031195,0.00031195,0.00031195
141,205.524,0.36435,0.30468,0.80058,0.94976,0.95914,0.98436,0.84995,0.54459,0.38167,0.80551,0.000307,0.000307,0.000307
142,206.895,0.37556,0.29775,0.79338,0.94948,0.98845,0.9869,0.84854,0.55724,0.33349,0.80992,0.00030205,0.00030205,0.00030205
143,208.231,0.37226,0.29985,0.79904,0.96225,0.97512,0.98763,0.84078,0.54071,0.32306,0.80411,0.0002971,0.0002971,0.0002971
144,209.758,0.3636,0.30364,0.80447,0.96084,0.97568,0.99155,0.86338,0.51625,0.32885,0.80199,0.00029215,0.00029215,0.00029215
145,211.124,0.38391,0.32059,0.80785,0.96874,0.96364,0.99161,0.85925,0.52256,0.33158,0.80295,0.0002872,0.0002872,0.0002872
146,212.518,0.37102,0.3028,0.79362,0.96175,0.97064,0.99157,0.85187,0.52996,0.33233,0.80424,0.00028225,0.00028225,0.00028225
147,213.861,0.36726,0.30798,0.79673,0.96538,0.97006,0.98714,0.84286,0.53101,0.33938,0.80385,0.0002773,0.0002773,0.0002773
148,215.38,0.3653,0.29428,0.7861,0.96171,0.96581,0.9878,0.84979,0.52741,0.33051,0.80424,0.00027235,0.00027235,0.00027235
149,216.842,0.34863,0.30422,0.80354,0.95697,0.97011,0.99105,0.8468,0.53833,0.3351,0.81211,0.0002674,0.0002674,0.0002674
150,218.26,0.35706,0.29799,0.80373,0.95506,0.99275,0.99289,0.85102,0.53828,0.32364,0.80761,0.00026245,0.00026245,0.00026245
